datatrans	rreq	rrep	codata	coack	sdata	sack	conn
40	2086	20756	15	11	1	0	1
22	2098	19867	11	11	1	0	1
22	2034	21084	11	11	1	0	1
22	2029	21811	11	11	1	0	1
22	2087	21312	11	11	1	0	1
28	2140	16561	11	10	3	1	1
22	2042	21501	11	11	1	0	1
25	2137	16555	11	10	1	1	1
27	2140	16559	11	10	1	1	1
24	2065	19487	11	11	2	0	1
25	2295	20732	11	11	4	1	2
22	2130	25576	11	11	2	1	2
22	2127	25723	11	11	2	1	2
37	2247	21294	11	11	5	1	2
22	2258	24879	11	12	2	0	2
157	2350	16766	11	10	89	1	2
64142	2354	16769	11	10	325	0	2
22	2181	26472	11	11	2	1	2
26	2219	25293	11	11	3	2	2
28	2241	23958	11	14	5	0	2
26	2473	24268	11	12	3	1	3
44	2304	29157	11	12	16	3	3
80	2470	24266	11	12	24	1	3
31	2564	16972	11	10	3	3	3
26	2525	20942	11	10	3	2	3
57	2341	23251	11	11	9	2	3
36	2515	21732	11	11	5	2	3
25	2448	25385	11	11	3	2	3
43	2490	20687	11	11	7	2	3
26	2292	30493	11	14	4	0	3
28	2464	35531	11	15	6	1	4
25	2536	28519	11	11	4	3	4
22	2427	32843	11	13	4	1	4
25	2525	29445	11	13	5	2	4
2034	2649	26212	11	11	1943	2	4
28	2642	26357	11	12	5	2	4
30	2520	34322	11	12	10	3	4
24	2435	34523	11	13	5	1	4
38	2571	29639	11	11	13	4	4
25	2505	32176	11	13	4	1	4
25	2577	40318	11	15	6	1	5
34	2886	26352	11	12	10	3	5
68	2405	34768	11	20	12	1	5
57	2821	29915	11	15	19	2	5
34	2558	29214	11	18	11	1	5
63795	2866	28018	11	11	733	2	5
22	2583	32721	11	13	5	2	5
29	2555	32303	11	14	7	3	5
262	2780	31330	11	12	59	4	5
111	2546	36894	11	15	27	1	5
44	2975	26726	11	12	9	5	6
39	2606	36837	11	16	21	2	6
28	2770	39474	11	16	9	1	6
720	2669	34182	11	13	602	2	6
75034	2816	29972	11	13	712	2	6
117	2485	39722	11	21	57	1	6
34	2635	25719	11	16	8	2	6
74	2923	35033	11	15	32	1	6
109	2917	33754	11	16	38	3	6
59	2744	33631	11	17	13	4	6
51	2852	42853	11	19	11	2	7
63	3005	34166	11	14	38	2	7
392	3051	31491	11	14	93	1	7
157	2678	38027	11	16	99	1	7
47	2633	36169	11	20	24	0	7
28	3043	37145	11	13	9	3	7
73	2743	36339	11	16	33	3	7
