RReq	RRep	Data	Ack	selfish II
1772	1949	10	10	0
1772	1949	10	10	1
1772	1949	10	10	1
1772	1949	10	10	1
1772	1949	13	10	1
1772	1949	10	10	1
1772	2128	17	10	1
1772	1949	10	10	1
1772	1949	10	10	1
1772	1949	10	10	1
1772	2128	18	10	1
1772	1949	10	10	2
1772	1949	51	9	2
1772	1949	13	10	2
1772	2128	19	10	2
1772	2128	24	10	2
1772	1949	10	10	2
1772	2128	17	10	2
1772	2128	18	10	2
1772	1949	42	9	2
1772	1949	10	10	2
1772	1949	49	9	3
1772	1949	13	10	3
1772	1949	45	9	3
1772	1949	14	10	3
1772	1949	13	10	3
1772	1949	20	10	3
1772	1949	10	10	3
1772	1949	14	10	3
1772	1949	13	10	3
1772	1949	35	9	3
1772	1949	52	8	4
1772	1949	42	9	4
1772	1949	15	10	4
1772	2128	18	10	4
1772	1949	10	10	4
1772	1949	19	10	4
1772	1949	35	9	4
1772	1949	14	10	4
1772	1949	10	10	4
1772	2128	18	10	4
1772	1949	10	10	5
1772	2128	49	8	5
1772	1949	13	10	5
1772	1949	52	9	5
1772	2128	17	10	5
1772	1949	44	9	5
1772	2128	30	10	5
1772	2128	30	10	5
1772	1949	41	8	5
1772	2128	38	8	5
1772	2128	27	10	6
1772	1949	78	8	6
1772	1949	84	8	6
1772	1949	17	10	6
1772	1949	29	9	6
1772	2128	32	9	6
1772	1949	13	10	6
1772	1949	27	10	6
1772	2128	33	10	6
1772	1949	14	10	6
1772	1949	54	9	7
1772	1949	46	8	7
1772	2128	56	9	7
1772	1949	12	10	7
1772	1949	59	8	7
1772	2128	23	10	7
1772	2128	30	9	7
1772	1949	14	10	7
1772	2128	56	9	7
1772	1949	51	8	7
1772	2128	57	8	8
1772	2128	27	10	8
1772	2128	34	10	8
1772	2128	31	8	8
1772	1949	32	9	8
1772	2128	24	10	8
1772	2128	81	5	8
1772	2128	30	10	8
1772	1949	14	10	8
1772	2128	29	10	8
1772	2128	64	8	9
1772	2128	39	8	9
1772	2128	57	9	9
1772	2128	28	10	9
1772	2128	65	9	9
1772	1949	15	10	9
1772	1949	40	9	9
1772	2128	76	8	9
1772	2128	39	10	9
1772	2128	30	10	9
1772	2128	21	10	10
1772	2128	21	10	10
1772	2128	48	8	10
1772	2128	97	8	10
1772	2128	54	9	10
1772	2128	57	8	10
1772	2128	80	7	10
1772	2128	63	9	10
1772	2128	57	9	10
1772	2128	77	7	10
1772	1949	57	8	11
1772	2128	70	9	11
1772	2128	54	8	11
1772	2128	109	5	11
1772	1949	40	9	11
1772	1949	10	10	11
1772	2128	30	10	11
1772	2128	44	8	11
1772	2128	59	11	11
1772	2128	59	8	11
1772	2128	74	7	12
1772	2128	40	8	12
1772	2128	53	7	12
1772	2128	43	9	12
1772	2128	25	10	12
1772	2128	59	7	12
1772	1949	22	10	12
1772	2128	42	7	12
1772	2128	107	5	12
1772	2128	44	8	12
1772	1949	18	10	13
1772	2128	37	7	13
1772	1949	42	8	13
1772	2128	39	8	13
1772	2128	53	9	13
1772	2128	30	10	13
1772	2128	48	9	13
1772	2128	32	9	13
1772	2128	65	8	13
1772	2128	36	8	13
1772	2128	39	8	14
1772	2128	58	8	14
1772	2128	57	7	14
1772	2128	39	8	14
1772	2128	72	9	14
1772	2128	76	9	14
1772	2128	93	5	14
1772	2128	47	10	14
1772	2128	48	9	14
1772	2128	58	9	14
1772	2128	36	8	15
1772	2128	75	9	15
1772	2128	84	8	15
1772	2128	65	7	15
1772	2128	97	5	15
1772	2128	44	8	15
1772	2128	61	8	15
1772	2128	56	8	15
1772	2128	69	7	15
1772	2128	33	8	15
1772	2128	88	7	16
1772	2128	81	5	16
1772	2128	75	7	16
1772	2128	104	5	16
1772	2128	42	8	16
1772	2128	42	8	16
1772	2128	57	7	16
1772	2128	45	8	16
1772	1949	65	9	16
1772	2128	60	8	16
1772	2128	56	8	17
1772	2128	91	5	17
1772	2128	65	8	17
1772	2128	50	8	17
1772	2128	77	5	17
1772	2128	74	7	17
1772	2128	80	7	17
1772	2128	55	7	17
1772	2128	71	7	17
1772	2128	90	5	17
1772	2128	85	5	18
1772	2128	49	7	18
1772	2128	47	7	18
1772	2128	64	8	18
1772	2128	78	5	18
1772	2128	39	9	18
1772	2128	98	5	18
1772	2128	70	7	18
1772	2128	42	7	18
1772	2128	97	6	18
1772	2128	52	7	19
1772	2128	40	8	19
1772	2128	46	7	19
1772	2128	46	7	19
1772	2128	44	8	19
1772	2128	41	7	19
1772	2128	82	5	19
1772	2128	83	5	19
1772	2128	68	6	19
1772	2128	66	7	19
1772	2128	70	7	20
1772	2128	39	8	20
1772	2128	84	5	20
1772	2128	77	5	20
1772	2128	76	5	20
1772	2128	56	7	20
1772	2128	87	5	20
1772	2128	64	7	20
1772	2128	81	5	20
1772	2128	85	5	20
1772	2128	65	5	21
1772	2128	73	5	21
1772	2128	78	5	21
1772	2128	72	5	21
1772	2128	73	5	21
1772	2128	42	7	21
1772	2128	76	5	21
1772	2128	83	5	21
1772	2128	72	5	21
1772	2128	50	7	21
1772	2128	69	5	22
1772	2128	62	5	22
1772	2128	68	5	22
1772	2128	69	6	22
1772	2128	72	5	22
1772	2128	39	7	22
1772	2128	76	5	22
1772	2128	79	5	22
1772	2128	72	5	22
1772	2128	62	5	22
1772	2128	45	7	23
1772	2128	66	5	23
1772	2128	69	5	23
1772	2128	72	5	23
1772	2128	61	5	23
1772	2128	41	7	23
1772	2128	76	6	23
1772	2128	66	5	23
1772	2128	66	6	23
1772	2128	45	6	23
1772	2128	53	6	24
1772	2128	64	5	24
1772	2128	72	5	24
1772	2128	44	7	24
1772	2128	68	5	24
1772	2128	64	5	24
1772	2128	70	5	24
1772	2128	70	5	24
1772	2128	59	5	24
1772	2128	41	7	24
1772	2128	39	6	25
1772	2128	75	5	25
1772	2128	76	5	25
1772	2128	60	5	25
1772	2128	73	5	25
1772	2128	76	5	25
1772	2128	71	5	25
1772	2128	41	7	25
1772	2128	64	5	25
1772	2128	69	5	25
1772	2128	64	6	26
1772	2128	57	5	26
1772	2128	66	5	26
1772	2128	55	5	26
1772	2128	58	5	26
1772	2128	68	5	26
1772	2128	67	5	26
1772	2128	33	7	26
1772	2128	64	5	26
1772	2128	42	7	26
1772	2128	66	5	27
1772	2128	66	5	27
1772	2128	65	5	27
1772	2128	53	5	27
1772	2128	39	6	27
1772	2128	61	5	27
1772	2128	53	5	27
1772	2128	64	5	27
1772	2128	72	7	27
1772	2128	55	5	27
1772	2128	57	5	28
1772	2128	56	5	28
1772	2128	57	5	28
1772	2128	57	5	28
1772	2128	60	5	28
1772	2128	58	5	28
1772	2128	41	7	28
1772	2128	57	6	28
1772	2128	55	5	28
1772	2128	55	5	28
1772	2128	57	5	29
1772	2128	55	5	29
1772	2128	55	5	29
1772	2128	57	5	29
1772	2128	55	5	29
1772	2128	55	5	29
1772	2128	57	5	29
1772	2128	56	5	29
1772	2128	65	5	29
1772	2128	55	5	29
1772	2128	55	5	30
1772	2128	55	5	30
1772	2128	55	5	30
1772	2128	55	5	30
1772	2128	55	5	30
1772	2128	55	5	30
1772	2128	55	5	30
1772	2128	55	5	30
1772	2128	55	5	30
1772	2128	55	5	30
