datatrans	rreq	rrep	codata	coack	no wormhole
20	2261	6906	10	10	1 wormhole pair
16	2187	10884	10	10	1 wormhole pair
24	2159	10867	10	10	1 wormhole pair
23	2258	7171	10	10	1 wormhole pair
30	2258	6955	13	10	1 wormhole pair
109	2010	21328	17	24	1 wormhole pair
26	2121	15105	15	11	1 wormhole pair
17	2254	6057	10	10	1 wormhole pair
21	2198	10607	10	10	1 wormhole pair
49	3418	8581	15	15	1 wormhole pair
125	3047	26617	30	26	1 wormhole pair
13	2101	16984	10	10	1 wormhole pair
27	2108	15315	13	10	1 wormhole pair
10	2185	10843	10	10	1 wormhole pair
18	2052	5965	10	10	1 wormhole pair
29	2330	2318	10	10	1 wormhole pair
23	2175	12644	10	10	1 wormhole pair
24	2135	15048	12	10	1 wormhole pair
23	2227	8535	10	10	1 wormhole pair
15	2010	21078	11	10	1 wormhole pair
20	1789	19809	10	10	1 wormhole pair
17	2109	13512	10	10	1 wormhole pair
16	1739	19476	10	10	1 wormhole pair
14	2020	20179	10	10	1 wormhole pair
20	2325	2316	10	10	1 wormhole pair
22	2104	15964	12	10	1 wormhole pair
54	2326	2320	15	10	1 wormhole pair
38	2326	2324	13	10	1 wormhole pair
34	2222	9471	15	10	1 wormhole pair
21	2194	11488	15	10	1 wormhole pair
17	1872	24766	11	11	2 wormhole
19	2452	6375	10	10	2 wormhole
23	2131	20866	10	10	2 wormhole
21	2501	2500	10	10	2 wormhole
16	2429	7135	10	10	2 wormhole
24	2176	15575	12	10	2 wormhole
32	2498	2260	14	10	2 wormhole
26	2505	2492	12	10	2 wormhole
12	2281	14488	10	10	2 wormhole
38	2509	2491	14	10	2 wormhole
24	2502	2490	11	10	2 wormhole
27	2349	11873	10	10	2 wormhole
21	2425	7206	10	10	2 wormhole
22	2498	2487	10	10	2 wormhole
24	2508	2493	10	10	2 wormhole
19	2399	9439	10	10	2 wormhole
15	2409	8265	10	10	2 wormhole
15	2221	17733	10	10	2 wormhole
34	2503	2234	10	10	2 wormhole
32	2484	4260	10	10	2 wormhole
31	2501	2495	10	10	2 wormhole
204	2444	6492	35	8	2 wormhole
19	2392	11809	10	10	2 wormhole
9	2081	24682	10	10	2 wormhole
20	2432	7037	10	10	2 wormhole
20	2272	17962	12	11	2 wormhole
15	2447	7212	10	10	2 wormhole
44	2416	7758	16	10	2 wormhole
22	2504	2489	10	10	2 wormhole
15	2503	2484	10	10	2 wormhole
11	1914	37211	10	10	3 wormhole
26	2491	18303	16	10	3 wormhole
19	2643	8854	16	10	3 wormhole
24	2719	2718	12	10	3 wormhole
25	2442	15156	20	11	3 wormhole
29	2719	2714	12	10	3 wormhole
21	2726	2707	10	10	3 wormhole
26	2720	2443	10	10	3 wormhole
247	2458	21844	45	10	3 wormhole
17	2522	14706	10	10	3 wormhole
31	2627	8646	14	12	3 wormhole
62	2369	26885	18	15	3 wormhole
43	2581	12653	15	13	3 wormhole
21	2559	14511	10	10	3 wormhole
12	2638	7856	10	10	3 wormhole
23	2722	2699	10	10	3 wormhole
9	2000	37906	10	10	3 wormhole
31	2502	16072	14	11	3 wormhole
23	2527	15428	10	10	3 wormhole
13	2484	14130	17	10	3 wormhole
18	2613	9523	15	10	3 wormhole
39	2725	2713	14	10	3 wormhole
38	2554	15353	19	12	3 wormhole
68	2422	19125	21	16	3 wormhole
51	2415	22167	16	11	3 wormhole
42	2560	14000	16	12	3 wormhole
26	2518	14181	11	10	3 wormhole
36	2724	2451	17	10	3 wormhole
36813	2724	2713	60	9	3 wormhole
31	2717	2702	13	10	3 wormhole
144	2063	20731	157	9	4wormhole
26	2894	2610	10	10	4wormhole
25	2099	33095	16	10	4wormhole
62	2312	37885	225	9	4wormhole
31	2912	2622	14	10	4wormhole
2383	2586	18048	37	9	4wormhole
62	2308	33768	18	18	4wormhole
42	2838	9312	13	10	4wormhole
28	2921	2912	19	10	4wormhole
25	2814	10759	13	10	4wormhole
26	2229	40649	18	12	4wormhole
26	2920	2619	10	10	4wormhole
28	2901	4924	10	10	4wormhole
22	2918	2900	10	9	4wormhole
23	2682	17527	10	10	4wormhole
16	2827	10133	13	10	4wormhole
39	2824	9306	13	10	4wormhole
334	2230	40366	60	11	4wormhole
46	2674	18122	26	10	4wormhole
29	2663	18380	15	11	4wormhole
27	2825	10487	15	10	4wormhole
15	2720	17117	10	10	4wormhole
38	2807	11074	14	10	4wormhole
441	2182	34298	97	91	4wormhole
25	2685	22762	11	10	4wormhole
23	2915	2912	10	10	4wormhole
41	2786	11688	19	10	4wormhole
31	2605	25221	10	9	4wormhole
23	2918	2919	11	10	4wormhole
39	2798	9937	12	11	4wormhole
36	2842	20199	21	10	5wormhole
15	1986	51664	11	10	5wormhole
12	2731	28380	16	10	5wormhole
35	2774	24767	15	10	5wormhole
19	2931	14086	10	9	5wormhole
35	2965	11022	22	10	5wormhole
68	2849	19652	23	9	5wormhole
24	2878	20281	16	10	5wormhole
23	3087	3069	10	10	5wormhole
34	2787	26527	17	14	5wormhole
24	2406	34628	17	10	5wormhole
226	2599	35093	47	9	5wormhole
107	2924	15554	36	9	5wormhole
53	2939	11967	20	11	5wormhole
16	2939	12947	10	10	5wormhole
114	2664	24764	26	10	5wormhole
21	2581	30818	12	10	5wormhole
26	3074	3064	10	10	5wormhole
34	2540	24825	17	11	5wormhole
39	2943	11732	15	10	5wormhole
20	3082	3058	13	9	5wormhole
38	2770	23128	14	10	5wormhole
35	2830	21184	22	10	5wormhole
898	2541	22113	124	10	5wormhole
69	2494	24066	19	10	5wormhole
15	2965	10410	10	10	5wormhole
22	2762	24930	13	10	5wormhole
45	2510	21038	12	10	5wormhole
28	2990	10100	15	10	5wormhole
29	2815	19746	17	10	5wormhole
